business_id,phone_number,name,full_address,latitude,longitude,review_count,rating,timezone,website,place_id,place_link,types,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,city,verified,state,Friday_morning,Friday_afternoon,Friday_evening,Saturday_morning,Saturday_afternoon,Saturday_evening,Sunday_morning,Sunday_afternoon,Sunday_evening,Monday_morning,Monday_afternoon,Monday_evening,Tuesday_morning,Tuesday_afternoon,Tuesday_evening,Wednesday_morning,Wednesday_afternoon,Wednesday_evening,Thursday_morning,Thursday_afternoon,Thursday_evening,geo_cluster,country
0x3e5f432ffa03f197:0x85f2a37d2c9f1964,97143571148,LIFE Pharmacy - Al Hamriya,"LIFE Pharmacy - Al Hamriya - Unit A, Ground floor, Fathima Hypermarket - Khalid Bin Al Waleed Rd - Dubai - United Arab Emirates",25.2566192,55.3013381,7.0,4.3,Asia/Dubai,http://www.life-me.com/,ChIJl_ED-i9DXz4RZBmfLH2j8oU,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f432ffa03f197:0x85f2a37d2c9f1964,Pharmacy,8 AM-12 AM,8 AM-12 AM,8 AM-12 AM,8 AM-12 AM,8 AM-12 AM,8 AM-12 AM,8 AM-12 AM,Dubai,True,Open ⋅ Closes 12 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f5d7b2ff27705:0x88053834bca783b1,Unknown,Health First Pharmacy Emirates HQ,Health First Pharmacy Emirates HQ - 160 Airport Rd - Garhoud - Dubai - United Arab Emirates,25.2415825,55.3654783,2.0,3.0,Asia/Dubai,Unknown,ChIJBXfyL3tdXz4RsYOnvDQ4BYg,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f5d7b2ff27705:0x88053834bca783b1,Pharmacy,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Dubai,False,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f5d05e41699a1:0x49ff31fa313307e8,97142200447,Airport Pharmacy,Airport Pharmacy - Terminal 1 Airport Rd - Dubai - United Arab Emirates,25.24933,55.352648,4.0,4.0,Asia/Dubai,Unknown,ChIJoZkW5AVdXz4R6AczMfox_0k,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f5d05e41699a1:0x49ff31fa313307e8,Pharmacy,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Dubai,False,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f5d5dc4f1d4ef:0xb380a6e9b2d13789,97145147038,CHS Community Pharmacy Al Khair - Dubai Wharf I Online Pharmacy,CHS Community Pharmacy Al Khair - Dubai Wharf I Online Pharmacy - Dubai Wharf Mall - Al Jaddaf - Dubai - United Arab Emirates,25.2263474,55.3364784,8.0,5.0,Asia/Dubai,https://www.chspharmacy.ae/storelocator/index/view/id/23/,ChIJ79TxxF1dXz4RiTfRsummgLM,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f5d5dc4f1d4ef:0xb380a6e9b2d13789,Pharmacy,9 AM-9 PM,9 AM-9 PM,9 AM-9 PM,9 AM-9 PM,9 AM-9 PM,9 AM-9 PM,9 AM-9 PM,Dubai,True,Open ⋅ Closes 9 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f5cd1ffc0a007:0xf0ac3117ccdd4873,97142384640,Al Majlis Pharmacy,7869+6XH Al Majlis Pharmacy - 4th St - Deira - Riggat Al Buteen - Dubai - United Arab Emirates,25.2605532,55.3199957,11.0,3.5,Asia/Dubai,Unknown,ChIJB6DA_9FcXz4Rc0jdzBcxrPA,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f5cd1ffc0a007:0xf0ac3117ccdd4873,Pharmacy,9 AM-11 PM,9 AM-11 PM,4 PM-12 AM,9 AM-11 PM,9 AM-11 PM,9 AM-11 PM,9 AM-11 PM,Dubai,False,Opens soon ⋅ 4 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f5c7a49cb5cf9:0x2af65912528e006,971529604207,Abraj Sahara Pharmacy,Abraj Sahara Pharmacy - alnahda beside Sahara center Sahara tower 3 Sahara tower 3 - Sharjah - United Arab Emirates,25.2977428,55.367015,6.0,4.2,Asia/Dubai,Unknown,ChIJ-VzLSXpcXz4RBuAoJZFlrwI,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f5c7a49cb5cf9:0x2af65912528e006,Pharmacy,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Sharjah,True,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f5c7748bb5507:0x97a44d268f2ec5fb,97165590076,Novo Pharmacy - Burj Al Nahda,8937+V89 Novo Pharmacy - Burj Al Nahda - Al Taawun St - Al Mamzar - Sharjah - United Arab Emirates,25.3046623,55.3633507,3.0,4.0,Asia/Dubai,Unknown,ChIJB1W7SHdcXz4R-8UujyZNpJc,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f5c7748bb5507:0x97a44d268f2ec5fb,Pharmacy,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Sharjah,False,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e6741007a463861:0x4484b7bd4ed31332,Unknown,RV Parking,GQRM+F9R RV Parking - Zayed City - Abu Dhabi - United Arab Emirates,23.5412343,53.7833997,32.0,4.4,Asia/Dubai,Unknown,ChIJYThGegBBZz4RMhPTTr23hEQ,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e6741007a463861:0x4484b7bd4ed31332,Campground,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Abu Dhabi,False,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f43005c969957:0xc16c41ec10aa9c24,Unknown,RV Park,673C+W8M RV Park، dubai islands - Dubai - United Arab Emirates,25.2048493,55.2707828,32.0,4.4,Asia/Dubai,Unknown,ChIJV5mWXABDXz4RJJyqEOxBbME,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f43005c969957:0xc16c41ec10aa9c24,Campground,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Dubai,False,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f5b0076edd809:0x1ca6659ed32bb3b9,Unknown,RV Park,88JC+7C RV Park - Dubai Islands - Dubai - United Arab Emirates,25.3236092,55.3286632,5.0,4.0,Asia/Dubai,Unknown,ChIJCdjtdgBbXz4RubMr055lphw,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f5b0076edd809:0x1ca6659ed32bb3b9,Campground,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Dubai,False,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f5b261c010a83:0xc5ca266507c10753,97165931646,RV Park Sharjah,8972+VJ RV Park Sharjah - Al Mamzar - Sharjah - United Arab Emirates,25.3151218,55.3509809,5.0,3.8,Asia/Dubai,Unknown,ChIJgwoBHCZbXz4RUwfBB2UmysU,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f5b261c010a83:0xc5ca266507c10753,Campground,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Sharjah,False,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f43249e43985b:0xb59029aa36484e54,971526041161,Rafia mobile,Rafia mobile - Deira - Dubai murar - Dubai - United Arab Emirates,25.2763552,55.3095108,32.0,4.4,Asia/Dubai,Unknown,ChIJW5hDniRDXz4RVE5INqopkLU,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f43249e43985b:0xb59029aa36484e54,Mobile home park,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Dubai,True,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f435678fbb8cf:0x16cab28122253a8f,971544848698,Al Kala Bayda Electronic Trading LLLC,"Al Kala Bayda Electronic Trading LLLC, Police Station - Naif Road - 174 11A Street - near Naif - Deira - Dubai - United Arab Emirates",25.272605,55.3051534,1.0,5.0,Asia/Dubai,Unknown,ChIJz7j7eFZDXz4RjzolIoGyyhY,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f435678fbb8cf:0x16cab28122253a8f,Mobile home park,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Dubai,True,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f5b3c8042ce8f:0x2f162795a7b4f337,Unknown,خيار المشتري,خيار المشتري - 34 Tufail Bin Al Hareth St - Al Nad - Al Qasimia - Sharjah - United Arab Emirates,25.3429779,55.3886833,32.0,4.4,Asia/Dubai,Unknown,ChIJj85CgDxbXz4RN_O0p5UnFi8,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f5b3c8042ce8f:0x2f162795a7b4f337,RV park,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Sharjah,False,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f5d86b62ddb05:0x52fca0466df84b00,971581034896,ALI SHANBIH MOBILE COPUTTER SALES AND REPAIR,"ALI SHANBIH MOBILE COPUTTER SALES AND REPAIR, near parkveiw restaurant - Al Nahda - Al Nahda 2 - Dubai - United Arab Emirates",25.2888084,55.3779629,32.0,4.4,Asia/Dubai,Unknown,ChIJBdsttoZdXz4RAEv4bUag_FI,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f5d86b62ddb05:0x52fca0466df84b00,Mobile home park,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Dubai,True,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f459e315cd417:0x5df306590b6cf585,971501488536,Awrag Al Rehan Electronics Trading,"78R7+GPV Awrag Al Rehan Electronics Trading, Souk - Al Marfa - Front - Dubai - United Arab Emirates",25.2913647,55.3142843,4.0,2.8,Asia/Dubai,Unknown,ChIJF9RcMZ5FXz4RhfVsC1kG810,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f459e315cd417:0x5df306590b6cf585,Mobile home park,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Dubai,False,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f434bb4a74ef5:0x947d2b829389b95f,Unknown,Parking Building İn Deira,Parking Building İn Deira - 61 32A St - Naif - Dubai - United Arab Emirates,25.2708708,55.3105441,18.0,4.1,Asia/Dubai,Unknown,ChIJ9U6ntEtDXz4RX7mJk4IrfZQ,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f434bb4a74ef5:0x947d2b829389b95f,Mobile home park,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Dubai,False,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f6bf4c6ff0f77:0xd4de7cf54ff72b32,971525397214,Daman Phone,"Daman Phone, 9394 Avenue - 1st St - Al Barsha - Al Barsha 2 - Dubai - United Arab Emirates",25.0988556,55.2046986,3.0,1.0,Asia/Dubai,Unknown,ChIJdw__xvRrXz4RMiv3T_V83tQ,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f6bf4c6ff0f77:0xd4de7cf54ff72b32,Mobile home park,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Dubai,False,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f7dbf35ced669:0xbbf8c4c05803884d,97144598300,Terra Solis Dubai,Terra Solis Dubai - Dubai Heritage Vision Exit - 29 Jebel Ali - Lehbab Rd - Dubai - United Arab Emirates,24.9909698,55.4180687,1007.0,4.6,Asia/Dubai,http://www.terrasolisdubai.com/?partner=10026utm_source=google&utm_medium=organic&utm_campaign=MyBusiness&utm,ChIJadbONb99Xz4RTYgDWMDE-Ls,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f7dbf35ced669:0xbbf8c4c05803884d,"RV park, Campground",Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Dubai,True,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f5b1ba42c6a63:0xec4480dd7a0a2487,971508656703,al madar mobile phone and electronics tr,"al madar mobile phone and electronics tr, bmw road of-side al aleef supermarket - Al Nahdha - Industrial Area - Sharjah - United Arab Emirates",25.3222621,55.3951433,32.0,4.4,Asia/Dubai,Unknown,ChIJY2ospBtbXz4RhyQKet2AROw,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f5b1ba42c6a63:0xec4480dd7a0a2487,Mobile home park,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Sharjah,True,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e5f5dbe8b26288d:0xd9ff0e187c0d26fb,Unknown,حوادث تأمين الفجيرة,79JQ+GR3 حوادث تأمين الفجيرة - Al Qusais Industrial Area - Al Qusais Industrial Area 2 - Dubai - United Arab Emirates,25.281206,55.389572,32.0,4.4,Asia/Dubai,Unknown,ChIJjSgmi75dXz4R-yYNfBgO_9k,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e5f5dbe8b26288d:0xd9ff0e187c0d26fb,RV park,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Dubai,False,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e676783095ba77b:0x1f938ef66b5e939,Unknown,مغسله الاسد للسيارات Al Assad Car Washing,MP5C+C3H مغسله الاسد للسيارات Al Assad Car Washing - Zayed City - Abu Dhabi - United Arab Emirates,23.6585617,53.7202453,57.0,4.1,Asia/Dubai,Unknown,ChIJe6dbCYNnZz4ROem1Zu84-QE,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e676783095ba77b:0x1f938ef66b5e939,Car wash,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Abu Dhabi,False,State information not provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e6767901df736d1:0xda238b09c08c53f8,971508345659,اللمعةالذهبية لغسيل وتلميع السيارات Allama Golden Car Wash and Polish,"اللمعةالذهبية لغسيل وتلميع السيارات Allama Golden Car Wash and Polish, Bada Zayed - Al Mahareeth St - Industrial Area - Abu Dhabi - United Arab Emirates",23.6582618,53.7260537,15.0,3.9,Asia/Dubai,Unknown,ChIJ0Tb3HZBnZz4R-FOMwAmLI9o,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e6767901df736d1:0xda238b09c08c53f8,Car wash,7:30-11:50 AM,7:30 AM-11:30 PM,7:30 AM-11:30 PM,7:30 AM-11:30 PM,7:30 AM-11:30 PM,7:30 AM-11:30 PM,7:30 AM-11:30 PM,Abu Dhabi,True,Open ⋅ Closes 11:30 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e676785fc22f085:0xa739ff7324f5f064,Unknown,Auto Shine Car cleaning and Polishing,MP6J+9FH Auto Shine Car cleaning and Polishing - Zayed City - Abu Dhabi - United Arab Emirates,23.6609368,53.7312458,16.0,4.1,Asia/Dubai,Unknown,ChIJhfAi_IVnZz4RZPD1JHP_Oac,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e676785fc22f085:0xa739ff7324f5f064,Car wash,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Abu Dhabi,False,Open 24 hours,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,United Arab Emirates
0x3e6769002ee3bead:0xb62cd7e0ff8b904a,971509086020,DAY LIGHT CAR WASH,JP74+2W DAY LIGHT CAR WASH - Zayed City - Abu Dhabi - United Arab Emirates,23.6126036,53.707473,8.0,4.5,Asia/Dubai,Unknown,ChIJrb7jLgBpZz4RSpCL_-DXLLY,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e6769002ee3bead:0xb62cd7e0ff8b904a,Car wash,8 AM-10:30 PM,8 AM-10:30 PM,8 AM-10:30 PM,8 AM-10:30 PM,8 AM-10:30 PM,8 AM-10:30 PM,8 AM-10:30 PM,Abu Dhabi,False,Open ⋅ Closes 10:30 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e6769ef7c0a0021:0x76364c27656ea42d,Unknown,ADNOC auto wash,JP79+X7F ADNOC auto wash - Madinat Za'id - Abu Dhabi - United Arab Emirates,23.6149264,53.7181801,2.0,5.0,Asia/Dubai,Unknown,ChIJIQAKfO9pZz4RLaRuZSdMNnY,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e6769ef7c0a0021:0x76364c27656ea42d,Car wash,6 AM-10 PM,6 AM-10 PM,6 AM-10 PM,6 AM-10 PM,6 AM-10 PM,6 AM-10 PM,6 AM-10 PM,Abu Dhabi,False,Open ⋅ Closes 10 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
